Profiled Section, Average, Minimum, Maximum
CPU Frame Time,0.260887,0.166181,0.429203
GPU Frame Time:     ,16.411703,12.303200,28.888288
Render to Buffers:  ,2.067684,0.375520,6.701952
Shadow Maps Render: ,1.895516,1.867488,2.227680
Lighting Pass:      ,10.557961,7.105792,21.418623
Voxelise Clear:     ,0.006895,0.006816,0.014240
Voxelise Pass:      ,1.675443,1.546848,3.296800
Inject Radiance:    ,0.064678,0.055040,0.081760
GPU Tile Update:    ,0.000143,0.000000,0.019968
Generate Mips:      ,0.104945,0.087552,0.156672
Image Comparison Difference,0.000000,0.000000,0.000000

Memory Usage(MB):,1
