Profiled Section, Average, Minimum, Maximum
CPU Frame Time,0.256664,0.180224,0.485377
GPU Frame Time:     ,26.376505,22.977888,42.776737
Render to Buffers:  ,2.064186,0.340352,6.687968
Shadow Maps Render: ,1.890499,1.872384,1.943104
Lighting Pass:      ,17.205624,14.871168,33.029633
Voxelise Clear:     ,0.029256,0.025472,0.037120
Voxelise Pass:      ,2.068963,2.053440,2.288096
Inject Radiance:    ,2.395271,2.214592,2.516576
GPU Tile Update:    ,0.000010,0.000000,0.000032
Generate Mips:      ,0.683723,0.554336,0.835968
Image Comparison Difference,0.000000,0.000000,0.000000

Memory Usage(MB):,73
