Profiled Section, Average, Minimum, Maximum
CPU Frame Time,0.563834,0.134009,1.301631
GPU Frame Time:     ,18.869265,14.476288,74.480637
Render to Buffers:  ,1.834775,0.573440,8.351744
Shadow Maps Render: ,2.428738,1.890304,14.253056
Lighting Pass:      ,12.589840,9.798656,68.452354
Voxelise Clear:     ,0.043814,0.043008,0.105472
Voxelise Pass:      ,1.333531,1.297408,4.528128
Inject Radiance:    ,0.379992,0.356352,0.933888
GPU Tile Update:    ,0.000007,0.000000,0.001024
Generate Mips:      ,0.213766,0.146432,0.676864
Image Comparison Difference,0.000000,0.000000,0.000000

Memory Usage(MB):,4
